,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,B19001_001E,state,county,tract,nodes,edges,nodes_lts1,edges_lts1,nodes_lts2,edges_lts2,edges_lts1_pct,nodes_lts1_pct,edges_lts2_pct,nodes_lts2_pct,lts1_beta,lts2_beta,edges_lts1_density,nodes_lts1_density,edges_lts2_density,nodes_lts2_density,avg_component_edges_lts1,avg_component_edges_lts2,avg_component_length_lts1,avg_component_length_lts2
2830,06,059,052518,1400000US06059052518,06059052518,525.18,CT,5795023,0,"MULTIPOLYGON (((-117.771053 33.664601999999995, -117.76162 33.674237, -117.760179 33.676133, -117.759737 33.676563, -117.758141 33.677935, -117.757978 33.677788, -117.756738 33.676417, -117.755618 33.67293, -117.754828 33.66999, -117.753509 33.667975, -117.74586 33.658636, -117.74374 33.655755, -117.734845 33.644639999999995, -117.737127 33.644943, -117.75730899999999 33.650921, -117.761335 33.651585, -117.77 33.653285, -117.778042 33.657588, -117.771053 33.664601999999995)))",3808.0,6,59,52518,7278,15007,1522,3343,3738,8458,0.22276271073499035,0.20912338554547952,0.5636036516292396,0.5136026380873866,0.4552796889021837,0.4419484511704895,0.0005768743281950736,0.0002626391646763093,0.0014595282883260344,0.0006450362664652064,3433.412614980289,56542.7367576244,46275.95521616295,809764.8921602461
2857,06,059,052519,1400000US06059052519,06059052519,525.19,CT,979536,0,"MULTIPOLYGON (((-117.82068699999999 33.671596, -117.819011 33.673282, -117.816292 33.676013999999995, -117.81146799999999 33.680973, -117.810182 33.682151999999995, -117.8088 33.681354, -117.807705 33.680988, -117.811118 33.677093, -117.813649 33.674837, -117.813966 33.674394, -117.814536 33.672471, -117.814211 33.670942, -117.813121 33.669492, -117.811204 33.66844, -117.805212 33.667713, -117.805402 33.667024, -117.807378 33.665029, -117.811806 33.665786, -117.81596 33.667071, -117.822903 33.669374999999995, -117.82068699999999 33.671596)))",1590.0,6,59,52519,2307,4685,765,1580,1310,2709,0.33724653148345785,0.33159947984395316,0.5782283884738527,0.5678370177719982,0.48417721518987344,0.4835732742709487,0.0016130086081573315,0.0007809820159749106,0.0027655951389229188,0.001337367896636775,1265.7673202614378,6871.7374045801525,16114.2425372549,97623.0742183206
2880,06,059,062611,1400000US06059062611,06059062611,626.11,CT,1665709,82580,"MULTIPOLYGON (((-117.845533 33.655587, -117.837043 33.663644999999995, -117.836394 33.664628, -117.835923 33.6662, -117.835971 33.670639, -117.83601999999999 33.673775, -117.831878 33.672379, -117.831129 33.672128, -117.82735199999999 33.670863, -117.822903 33.669374999999995, -117.826441 33.665787, -117.827485 33.663648, -117.827764 33.657345, -117.838769 33.657596999999996, -117.84227 33.65696, -117.844657 33.654936, -117.845533 33.655587)))",1641.0,6,59,62611,2136,4417,621,1304,1075,2309,0.29522300203758206,0.2907303370786517,0.522752999773602,0.5032771535580525,0.4762269938650307,0.46556951061065394,0.0007828498255097379,0.0003728142190502663,0.001386196508513792,0.0006453708300789634,4657.51690821256,30420.147906976745,63155.215856682764,435421.53710139537
3000,06,059,052521,1400000US06059052521,06059052521,525.21,CT,1328748,19390,"MULTIPOLYGON (((-117.834834 33.679964999999996, -117.83272 33.682214, -117.828704 33.686249, -117.823837 33.691071, -117.823091 33.691544, -117.818506 33.688463, -117.816525 33.687326, -117.813771 33.686769, -117.811596 33.686218, -117.808261 33.68408, -117.810182 33.682151999999995, -117.81146799999999 33.680973, -117.813867 33.682224999999995, -117.817663 33.682688, -117.82395199999999 33.68333, -117.826387 33.684643, -117.827392 33.683754, -117.828569 33.682473, -117.829047 33.681816, -117.829902 33.680282, -117.831173 33.677639, -117.83535 33.679043, -117.834834 33.679964999999996)))",2185.0,6,59,52521,2948,6167,1108,2430,1579,3602,0.394032754986217,0.3758480325644505,0.5840765364034377,0.5356173677069199,0.45596707818930043,0.43836757357023876,0.0018287892060797081,0.0008338676709202949,0.0027108225186416083,0.0011883366898764853,12953.42057761733,128038.53451551615,176205.51220667872,1833336.7534350853
3109,06,059,062604,1400000US06059062604,06059062604,626.04,CT,52255938,2569410,"MULTIPOLYGON (((-117.83992 33.632039999999996, -117.8357 33.63326, -117.828041 33.633973999999995, -117.826957 33.634403999999996, -117.8264 33.63407, -117.823413 33.633657, -117.819431 33.631800999999996, -117.81459699999999 33.630379999999995, -117.812112 33.629563, -117.810887 33.629481, -117.809563 33.629666, -117.802887 33.632629, -117.799202 33.632191, -117.79631 33.632748, -117.795151 33.635017, -117.792603 33.637161, -117.79231300000001 33.640792999999995, -117.791275 33.642128, -117.790894 33.644138, -117.788307 33.645618, -117.78487 33.649389, -117.782849 33.652915, -117.778042 33.657588, -117.77 33.653285, -117.761335 33.651585, -117.76230699999999 33.646454999999996, -117.762102 33.643611, -117.760597 33.638804, -117.760643 33.635816999999996, -117.76138399999999 33.632908, -117.761151 33.630392, -117.758636 33.626945, -117.757183 33.625202, -117.756962 33.625288999999995, -117.755673 33.621950999999996, -117.7562 33.61998, -117.75979 33.61532, -117.76082 33.61335, -117.76118 33.611689999999996, -117.76043 33.60756, -117.760541 33.605849, -117.76235 33.60189, -117.76217 33.59973, -117.760606 33.595732, -117.760141 33.594553999999995, -117.76039399999999 33.588483, -117.76151899999999 33.583452, -117.76140000000001 33.5828, -117.76136 33.58182, -117.76329 33.5743, -117.76303 33.57165, -117.76400000000001 33.566, -117.76415 33.56366, -117.76643 33.56305, -117.76959 33.563359999999996, -117.77120000000001 33.56243, -117.773038 33.559962, -117.77386 33.558516, -117.774141 33.556855, -117.77593999999999 33.55365, -117.78133 33.54889, -117.782102 33.547625, -117.782152 33.54633, -117.78288 33.54551, -117.78748 33.548809999999996, -117.79062 33.54929, -117.79269 33.54831, -117.79299 33.54801, -117.7928 33.54649, -117.792863012556 33.5438587337878, -117.792935687705 33.5438799995273, -117.801288 33.546324, -117.804936775734 33.547782083977395, -117.806916 33.548573, -117.806980506149 33.5488290861813, -117.807515 33.550951, -117.811379 33.55232, -117.813513 33.551209, -117.814557895364 33.5517899207422, -117.818587379913 33.554030155731596, -117.81982099999999 33.554716, -117.82007157039001 33.5566816546776, -117.820304 33.558505, -117.826188 33.563001, -117.828968532272 33.56421618991, -117.82706400000001 33.566167, -117.822918 33.569074, -117.821418 33.571405, -117.822084 33.574038, -117.821136 33.573976, -117.81831199999999 33.575465, -117.81604300000001 33.576054, -117.815193 33.577709, -117.815624 33.579353, -117.81433 33.581548, -117.812916 33.582207, -117.81332 33.584582, -117.812597 33.586757, -117.808466 33.588611, -117.806657 33.588771, -117.805169 33.590131, -117.80375599999999 33.596345, -117.803773 33.597682999999996, -117.804309 33.599807, -117.802993 33.602174999999995, -117.80282700000001 33.603784, -117.801218 33.605461999999996, -117.79977099999999 33.603663, -117.797366 33.604113, -117.796934 33.602664, -117.792389 33.59746, -117.790802 33.59615, -117.787284 33.595561, -117.784283 33.594696, -117.783883 33.595103, -117.78797 33.59662, -117.79126 33.59751, -117.79406 33.59981, -117.79406 33.601369999999996, -117.796922 33.604628999999996, -117.800104 33.606866, -117.799159 33.607081, -117.80506 33.60919, -117.81136000000001 33.61015, -117.81548000000001 33.61186, -117.81757999999999 33.61376, -117.81970000000001 33.61791, -117.821452 33.620138, -117.8238 33.62167, -117.82804 33.623349999999995, -117.82834 33.6235, -117.82892 33.6238, -117.83458 33.628569999999996, -117.83635 33.629419999999996, -117.84183 33.6311, -117.83992 33.632039999999996)))",5846.0,6,59,62604,13747,28421,7293,15116,10271,21715,0.5318602441856374,0.5305157488906671,0.7640477111994651,0.7471448315996218,0.4824689071182853,0.4729910200322358,0.000289268561211168,0.00013956308659123103,0.0004155508604591501,0.00019655182536384668,5592.06993006993,119219.96952584948,53892.99009159468,1707017.6836001363
3115,06,059,052513,1400000US06059052513,06059052513,525.13,CT,1551768,83304,"MULTIPOLYGON (((-117.799045 33.677849, -117.796105 33.680786, -117.791623 33.682595, -117.79046199999999 33.68399, -117.788286 33.686181999999995, -117.783365 33.682744, -117.782716 33.682291, -117.778747 33.679525, -117.781552 33.676717, -117.78474299999999 33.673519, -117.78694899999999 33.671313999999995, -117.78763599999999 33.671562, -117.789826 33.672968, -117.790548 33.673439, -117.795565 33.6742, -117.798434 33.675143, -117.797348 33.676226, -117.796977 33.676736, -117.799045 33.677849)))",2190.0,6,59,52513,3498,7349,976,2048,1814,3984,0.278677371070894,0.27901658090337333,0.5421145734113485,0.5185820468839337,0.4765625,0.45532128514056225,0.0013197849163019213,0.0006289599991751345,0.0025673940949935813,0.0011689891787947683,5147.139344262295,98399.53748621831,69470.33432172131,1408982.8430981257
3336,06,059,062629,1400000US06059062629,06059062629,626.29,CT,1070705,0,"MULTIPOLYGON (((-117.826957 33.634403999999996, -117.825763 33.635463, -117.822364 33.640636, -117.821775 33.642489, -117.82198700000001 33.645469, -117.824529 33.650075, -117.820112 33.650532, -117.818411 33.649364999999996, -117.819986 33.647298, -117.81949900000001 33.644723, -117.819732 33.641478, -117.8211 33.637989999999995, -117.820936 33.636164, -117.82022 33.635227, -117.81577 33.633103, -117.814965 33.633004, -117.808515 33.632647999999996, -117.803864 33.635128, -117.803436 33.634247, -117.802887 33.632629, -117.809563 33.629666, -117.810887 33.629481, -117.812112 33.629563, -117.81459699999999 33.630379999999995, -117.819431 33.631800999999996, -117.823413 33.633657, -117.8264 33.63407, -117.826957 33.634403999999996)))",862.0,6,59,62629,3223,6739,922,1880,1592,3261,0.2789731414156403,0.2860688799255352,0.48389968838106545,0.4939497362705554,0.49042553191489363,0.4881938055811101,0.0017558524523561578,0.0008611148729108392,0.003045656833581612,0.001486870800080321,2399.3058568329716,136338.83040201006,19842.808209327548,1952186.6704447237
3416,06,059,062614,1400000US06059062614,06059062614,626.14,CT,6225545,62414,"MULTIPOLYGON (((-117.86162999999999 33.651407, -117.860064 33.651533, -117.852041 33.651851, -117.849249 33.652677, -117.84748 33.653698999999996, -117.845533 33.655587, -117.844657 33.654936, -117.84266 33.65315, -117.84188 33.65106, -117.83841 33.64834, -117.83537 33.647749999999995, -117.83009 33.64882, -117.824735 33.649954, -117.824529 33.650075, -117.82198700000001 33.645469, -117.821775 33.642489, -117.822364 33.640636, -117.825763 33.635463, -117.826957 33.634403999999996, -117.828041 33.633973999999995, -117.8357 33.63326, -117.83992 33.632039999999996, -117.84183 33.6311, -117.84984 33.63366, -117.85596 33.637769999999996, -117.85817 33.639939999999996, -117.859528 33.642528999999996, -117.861548 33.651174, -117.86162999999999 33.651407)))",3971.0,6,59,62614,19798,42337,11784,25599,15318,33411,0.604648416278905,0.5952116375391454,0.789167867350072,0.7737145166178402,0.4603304816594398,0.4584717607973422,0.0041119291564031745,0.0018928463291165672,0.0053667590548297376,0.00246050747364287,6039.383401221996,133020.41278234756,59489.88296249151,1904668.7511077162
3989,06,059,052527,1400000US06059052527,06059052527,525.27,CT,3383510,0,"MULTIPOLYGON (((-117.803494 33.70755, -117.80355 33.71297, -117.80303 33.71573, -117.80219 33.71733, -117.797933 33.721771, -117.794985 33.719687, -117.793312 33.718461, -117.78576699999999 33.713192, -117.783829 33.711884, -117.783271 33.711459, -117.783299 33.711176, -117.782228 33.710274, -117.78765899999999 33.70476, -117.79321 33.699188, -117.79625300000001 33.696135999999996, -117.79883699999999 33.693543, -117.800495 33.69513, -117.801253 33.697531999999995, -117.801657 33.699579, -117.802425 33.700798999999996, -117.802528 33.700917, -117.801397 33.702206, -117.80113 33.702473, -117.799807 33.703803, -117.803774 33.706538, -117.803494 33.70755)))",2698.0,6,59,52527,4251,8633,1174,2470,1987,4483,0.28611143287385615,0.27617031286756055,0.5192864589366385,0.467419430722183,0.47530364372469636,0.4432299799241579,0.0007300111422753295,0.00034697695588309184,0.0013249554456762356,0.0005872599755874816,12772.466780238501,57538.19929542023,169325.72452981264,823741.8898510317
4083,06,059,052520,1400000US06059052520,06059052520,525.20,CT,1183536,57281,"MULTIPOLYGON (((-117.814536 33.672471, -117.813966 33.674394, -117.813649 33.674837, -117.811118 33.677093, -117.807705 33.680988, -117.80481 33.679869, -117.798434 33.675143, -117.799363 33.674247, -117.800232 33.673216, -117.802341 33.674251999999996, -117.803542 33.672993, -117.805212 33.667713, -117.811204 33.66844, -117.813121 33.669492, -117.814211 33.670942, -117.814536 33.672471)))",1312.0,6,59,52520,2497,5186,619,1294,1419,2926,0.24951793289625915,0.24789747697236683,0.56421133821828,0.5682819383259912,0.47836166924265844,0.4849624060150376,0.0010933338740857904,0.0005230090170472212,0.002472252639547931,0.001198949588352192,7103.114701130856,48533.805496828754,96459.62116155088,694987.157435518
4613,06,059,052522,1400000US06059052522,06059052522,525.22,CT,935839,0,"MULTIPOLYGON (((-117.829902 33.680282, -117.829047 33.681816, -117.828569 33.682473, -117.827392 33.683754, -117.826387 33.684643, -117.82395199999999 33.68333, -117.817663 33.682688, -117.813867 33.682224999999995, -117.81146799999999 33.680973, -117.816292 33.676013999999995, -117.81958 33.678253999999995, -117.82058599999999 33.678644999999996, -117.822729 33.678782, -117.826151 33.677482999999995, -117.828135 33.677006999999996, -117.831173 33.677639, -117.829902 33.680282)))",1379.0,6,59,52522,1370,2693,162,352,664,1436,0.13070924619383587,0.11824817518248175,0.5332343111771258,0.4846715328467153,0.4602272727272727,0.4623955431754875,0.00037613307417194627,0.0001731066989086798,0.0015344519730423715,0.0007095237535516258,8500.160493827161,29316.418674698794,115449.10392592593,419874.0459427711
4641,06,059,052514,1400000US06059052514,06059052514,525.14,CT,1481785,35848,"MULTIPOLYGON (((-117.805402 33.667024, -117.805212 33.667713, -117.803542 33.672993, -117.802341 33.674251999999996, -117.800232 33.673216, -117.799363 33.674247, -117.798434 33.675143, -117.795565 33.6742, -117.790548 33.673439, -117.789826 33.672968, -117.78763599999999 33.671562, -117.78694899999999 33.671313999999995, -117.788486 33.66977, -117.791005 33.667276, -117.79129499999999 33.666984, -117.79499799999999 33.663278999999996, -117.807378 33.665029, -117.805402 33.667024)))",2134.0,6,59,52514,2652,5446,536,1135,1047,2443,0.20840984208593463,0.20211161387631976,0.448586118251928,0.3947963800904977,0.4722466960352423,0.42857142857142855,0.0007659680722911893,0.0003617258914079978,0.0016486872252047362,0.0007065802393734584,6967.815298507463,62421.8299904489,94548.47305597014,894207.5415988539
4750,06,059,062628,1400000US06059062628,06059062628,626.28,CT,2460589,0,"MULTIPOLYGON (((-117.827764 33.657345, -117.821358 33.657261, -117.817972 33.658384999999996, -117.815884 33.65862, -117.81406799999999 33.658043, -117.812291 33.657455999999996, -117.807429 33.658384, -117.80649199999999 33.657011, -117.804726 33.654182999999996, -117.802127 33.651178, -117.800575 33.645990999999995, -117.801034 33.644802, -117.804221 33.641006, -117.807812 33.643734, -117.80824799999999 33.644535999999995, -117.808772 33.646606, -117.80983 33.647490999999995, -117.813057 33.647926, -117.815483 33.649528, -117.816932 33.649774, -117.818411 33.649364999999996, -117.820112 33.650532, -117.824529 33.650075, -117.826723 33.653718999999995, -117.827606 33.655431, -117.827764 33.657345)))",925.0,6,59,62628,4024,7947,2107,4386,2542,5178,0.5519063797659494,0.5236083499005965,0.6515666289165722,0.6317097415506958,0.4803921568627451,0.4909231363460796,0.0017825000436887265,0.0008562990405955647,0.0021043741965846388,0.0010330859806330923,3950.363550071191,46036.263178599525,51390.69061888942,656475.8387557041
5185,06,059,062631,1400000US06059062631,06059062631,626.31,CT,2378587,0,"MULTIPOLYGON (((-117.8211 33.637989999999995, -117.819732 33.641478, -117.81949900000001 33.644723, -117.819986 33.647298, -117.818411 33.649364999999996, -117.816932 33.649774, -117.815483 33.649528, -117.813057 33.647926, -117.80983 33.647490999999995, -117.808772 33.646606, -117.80824799999999 33.644535999999995, -117.807812 33.643734, -117.804221 33.641006, -117.801896 33.640218, -117.80081200000001 33.638607, -117.801079 33.637096, -117.803864 33.635128, -117.808515 33.632647999999996, -117.814965 33.633004, -117.81577 33.633103, -117.82022 33.635227, -117.820936 33.636164, -117.8211 33.637989999999995)))",1178.0,6,59,62631,6627,13821,2054,4258,3371,6921,0.3080819043484552,0.3099441677984005,0.5007597134794878,0.5086766259242493,0.4823860967590418,0.48706834272503974,0.0017901384309255872,0.0008635378903525497,0.0029097106811733185,0.0014172279592884348,5549.650438169426,120825.69326609315,59316.200510710805,1729964.466128745
5396,06,059,052418,1400000US06059052418,06059052418,524.18,CT,6404947,0,"MULTIPOLYGON (((-117.773233 33.701823, -117.772963 33.702166999999996, -117.772447 33.703604, -117.762039 33.696459, -117.756399 33.701972999999995, -117.753629 33.704749, -117.750959 33.707505999999995, -117.74421 33.702853999999995, -117.73787 33.69842, -117.73582 33.697041, -117.750887 33.679128999999996, -117.753483 33.675004, -117.753682 33.671586999999995, -117.753509 33.667975, -117.754828 33.66999, -117.755618 33.67293, -117.756738 33.676417, -117.757978 33.677788, -117.758141 33.677935, -117.763537 33.682971, -117.76827 33.690115, -117.77131800000001 33.694708999999996, -117.775143 33.700604, -117.773233 33.701823)))",8323.0,6,59,52418,7111,14748,1856,4092,4228,9433,0.2774613506916192,0.2610040781887217,0.6396121508001085,0.5945717901842217,0.45356793743890517,0.44821371779921554,0.0006388811648246269,0.0002897760121980713,0.0014727678464786672,0.0006601147519253477,20319.238685344826,95788.6435666982,270315.92232489225,1372332.0717429044
5398,06,059,052421,1400000US06059052421,06059052421,524.21,CT,2503262,0,"MULTIPOLYGON (((-117.768182 33.724164, -117.76576299999999 33.722515, -117.759057 33.72251, -117.75594 33.721388, -117.754227 33.721464, -117.74785 33.721291, -117.743106 33.720405, -117.740614 33.719229999999996, -117.740452 33.718776, -117.740083 33.717152999999996, -117.74242 33.71589, -117.750959 33.707505999999995, -117.757593 33.712075999999996, -117.76094499999999 33.714417, -117.770952 33.721388999999995, -117.768182 33.724164)))",1974.0,6,59,52421,5386,11628,1345,2893,2426,5369,0.24879600963192294,0.24972150018566655,0.46173030615755073,0.4504270330486446,0.46491531282405807,0.45185323151424844,0.0011556920530092336,0.0005372989323530657,0.002144801463051011,0.0009691354720360873,16430.552416356877,103893.23454245672,218487.04891375467,1487667.5670375102
5474,06,059,062630,1400000US06059062630,06059062630,626.30,CT,4557925,54671,"MULTIPOLYGON (((-117.807429 33.658384, -117.8028 33.658299, -117.801442 33.658578999999996, -117.798672 33.659861, -117.79499799999999 33.663278999999996, -117.788404 33.66233, -117.7857 33.661619, -117.783182 33.660526, -117.778042 33.657588, -117.782849 33.652915, -117.78487 33.649389, -117.788307 33.645618, -117.790894 33.644138, -117.791275 33.642128, -117.79231300000001 33.640792999999995, -117.792603 33.637161, -117.795151 33.635017, -117.79631 33.632748, -117.799202 33.632191, -117.802887 33.632629, -117.803436 33.634247, -117.803864 33.635128, -117.801079 33.637096, -117.80081200000001 33.638607, -117.801896 33.640218, -117.804221 33.641006, -117.801034 33.644802, -117.800575 33.645990999999995, -117.802127 33.651178, -117.804726 33.654182999999996, -117.80649199999999 33.657011, -117.807429 33.658384)))",722.0,6,59,62630,2830,5589,1436,2936,1863,3784,0.5253175881195205,0.5074204946996467,0.6770441939524066,0.658303886925795,0.4891008174386921,0.49233615221987315,0.0006441527668840536,0.0003150556448383859,0.0008302023398805377,0.0004087386255807193,10740.355153203343,122478.14761137949,104975.71664206128,1753727.66014117
